"state","potency","weight","month","price"
"NY",82,2,1,100
"NY",80,2,1,100
"NY",93,1,1,100
"NY",71,2,1,100
"NY",81,1,1,100
"NY",87,1,1,100
"NY",76,1,1,100
"NY",89,1,1,100
"NY",86,1,1,100
"FL",79,3,1,100
"DC",79,2,1,100
"FL",80,2,1,100
"MD",93,1,1,100
"MD",91,1,1,100
"FL",91,2,1,100
"IN",89,1,1,100
"WV",51,1,1,100
"MA",87,1,1,100
"MI",65,2,1,100
"NY",82,1,1,90
"MA",44,2,1,80
"MA",88,1,1,80
"NY",87,1,1,80
"GA",83,1,1,70
"NY",71,1,1,60
"PA",75,1,1,60
"NY",66,1,1,60
"NY",76,1,1,60
"TX",90,1,1,60
"CA",72,2,1,60
"MA",77,1,1,50
"TX",82,1,1,50
"TX",89,1,1,50
"NY",79,1,1,40
"NY",77,1,1,40
"CA",52,1,1,40
"CA",83,1,1,40
"CA",78,1,1,40
"CA",57,1,1,40
"PA",67,41,2,6900
"NY",74,48,2,5500
"CT",37,248,2,4800
"KY",74,74,2,4000
"DC",55,125,2,3500
"IL",60,122,2,3400
"NC",59,124,2,3400
"HI",73,78,2,3300
"NY",38,95,2,3200
"TN",6,139,2,3000
"VA",51,65,2,2800
"MS",53,89,2,2800
"HI",77,65,2,2700
"NY",77,95,2,2700
"GA",54,111,2,2600
"AL",57,125,2,2600
"KY",69,82,2,2600
"NY",37,61,2,2400
"NJ",44,97,2,2400
"LA",71,124,2,2200
"NY",33,6,2,2200
"VA",55,61,2,2100
"NJ",33,100,2,2000
"OH",44,75,2,2000
"VA",71,36,2,2000
"IL",67,55,2,2000
"FL",56,46,2,2000
"OH",62,55,2,2000
"WV",74,29,2,2000
"PA",57,49,2,1800
"NY",72,61,2,1700
"FL",57,56,2,1700
"GA",34,51,2,1600
"LA",68,50,2,1600
"IL",51,86,2,1600
"AL",55,64,2,1600
"TN",72,55,2,1500
"DC",48,40,2,1500
"AL",81,48,2,1500
"GA",55,50,2,1500
"DC",52,30,2,1500
"CA",53,72,2,1500
"MN",40,62,2,1500
"WA",69,43,2,1400
"VA",57,28,2,1400
"IL",82,62,2,1400
"LA",76,52,2,1400
"VA",74,21,2,1400
"VA",73,17,2,1400
"FL",81,25,2,1400
"VA",59,28,2,1400
"CA",81,85,2,1400
"NY",58,46,2,1400
"LA",65,54,2,1400
"LA",56,61,2,1300
"FL",49,52,2,1300
"LA",57,59,2,1300
"ME",68,32,2,1300
"LA",74,62,2,1300
"IL",51,38,2,1300
"OR",83,54,2,1200
"IL",35,64,2,1200
"LA",60,56,2,1200
"NJ",58,17,2,1200
"CA",66,53,2,1200
"IL",61,56,2,1200
"MD",81,27,2,1200
"WA",69,54,2,1200
"NV",70,46,2,1200
"HI",73,26,2,1100
"CA",90,47,2,1100
"WV",76,19,2,1000
"FL",89,16,2,1000
"FL",89,16,2,1000
"AL",83,20,2,1000
"DC",69,28,2,1000
"IL",74,41,2,1000
"IN",65,27,2,1000
"MA",43,26,2,950
"IL",82,15,2,950
"NJ",55,13,2,950
"IA",28,23,2,900
"AZ",75,55,2,900
"IL",45,27,2,900
"SC",91,23,2,850
"NH",54,30,2,850
"CA",55,47,2,800
"RI",53,16,2,800
"MA",35,13,2,800
"WV",87,13,2,800
"GA",77,24,2,800
"IL",70,27,2,800
"GA",73,24,2,800
"MA",61,21,2,800
"IN",42,25,2,800
"GA",66,32,2,800
"MO",58,25,2,800
"MA",65,26,2,760
"OH",65,22,2,750
"OH",61,23,2,750
"NV",56,41,2,750
"NV",53,41,2,750
"AL",54,16,2,750
"WV",73,14,2,700
"FL",88,11,2,700
"ME",85,7,2,700
"KS",83,23,2,700
"OH",66,18,2,700
"IL",43,27,2,700
"FL",83,6,2,700
"WV",68,7,2,700
"WA",58,27,2,650
"MD",30,14,2,650
"MA",89,8,2,650
"MS",66,10,2,650
"FL",56,26,2,650
"MD",59,13,2,650
"WA",83,23,2,600
"NJ",68,10,2,600
"WA",66,23,2,600
"MA",76,6,2,600
"NY",94,18,2,600
"IN",73,14,2,600
"MS",81,16,2,600
"NJ",62,7,2,600
"FL",63,14,2,600
"MA",28,10,2,600
"NJ",48,1,2,600
"MS",42,12,2,600
"IL",66,5,2,550
"PA",88,6,2,550
"WA",78,21,2,550
"FL",83,21,2,500
"FL",82,16,2,500
"CT",41,9,2,500
"DC",79,13,2,500
"CA",69,9,2,500
"VA",82,8,2,500
"DC",83,9,2,500
"MA",81,6,2,480
"VA",71,13,2,480
"MA",91,14,2,450
"MA",58,13,2,450
"NY",66,11,2,450
"NY",61,14,2,450
"CA",59,18,2,450
"LA",34,18,2,450
"LA",35,13,2,450
"OH",68,10,2,450
"OH",56,15,2,450
"VA",62,14,2,430
"VA",52,14,2,430
"TN",80,10,2,420
"MA",60,6,2,400
"FL",72,12,2,400
"VA",67,5,2,400
"VA",90,2,2,400
"CA",78,9,2,400
"NY",73,5,2,400
"WA",54,28,2,400
"NY",68,14,2,400
"AL",56,14,2,400
"FL",87,9,2,400
"WV",51,5,2,380
"IL",77,12,2,380
"DC",89,7,2,350
"IL",77,12,2,350
"WA",54,14,2,350
"IL",79,10,2,350
"FL",84,7,2,330
"MA",72,4,2,320
"PA",68,1,2,300
"CA",70,7,2,300
"IL",46,6,2,300
"HI",83,2,2,300
"CT",37,8,2,300
"DC",74,4,2,300
"CA",65,10,2,300
"IL",85,7,2,300
"WV",26,12,2,300
"CA",63,11,2,300
"NV",86,12,2,300
"MD",76,5,2,300
"DC",85,3,2,300
"NC",86,5,2,300
"CA",62,5,2,300
"DC",79,3,2,300
"DC",82,7,2,300
"MA",82,3,2,290
"FL",69,4,2,260
"FL",62,6,2,260
"IA",74,2,2,250
"IA",74,1,2,250
"IL",84,5,2,250
"IN",59,6,2,250
"VA",57,2,2,250
"FL",64,1,2,250
"IL",76,5,2,250
"IA",56,26,2,250
"IN",63,5,2,250
"NY",50,2,2,240
"OK",67,3,2,240
"NY",84,6,2,230
"NY",63,6,2,230
"VA",70,1,2,230
"VA",49,5,2,230
"OK",65,4,2,230
"WV",68,3,2,230
"OK",68,6,2,230
"WV",91,1,2,200
"WV",88,1,2,200
"CT",50,6,2,200
"MA",83,2,2,200
"FL",79,3,2,200
"FL",75,2,2,200
"VA",75,2,2,200
"VA",76,1,2,200
"VA",65,1,2,200
"NY",96,3,2,200
"WV",86,1,2,180
"WV",80,3,2,180
"CA",70,3,2,160
"NY",79,1,2,160
"CA",65,14,2,150
"WV",92,1,2,150
"CA",70,6,2,150
"NY",80,3,2,150
"NY",75,3,2,150
"MD",87,3,2,150
"VA",28,2,2,140
"FL",81,2,2,130
"NV",76,3,2,130
"IN",46,1,2,120
"MA",56,1,2,120
"NY",61,3,2,120
"WA",70,7,2,120
"NY",76,3,2,120
"IN",67,2,2,100
"IA",84,1,2,100
"CT",54,2,2,100
"WV",43,1,2,100
"WV",87,2,2,100
"CA",78,1,2,100
"DC",82,1,2,100
"NY",93,1,2,100
"NY",91,1,2,100
"NY",80,1,2,100
"NY",95,1,2,100
"FL",73,1,2,100
"WV",71,1,2,100
"WV",64,3,2,100
"VA",64,1,2,100
"WV",75,1,2,100
"NY",83,1,2,80
"NY",84,1,2,80
"TN",88,3,2,76
"VA",30,1,2,75
"NY",86,1,2,60
"GA",74,1,2,60
"IN",80,1,2,50
"CA",77,1,2,50
"IN",81,1,2,50
"NY",79,1,2,50
"CA",84,1,2,40
"CA",74,1,2,40
"CA",69,1,2,40
"IN",85,1,2,40
"GA",80,1,2,40
"NY",69,177,3,5400
"VA",40,123,3,4000
"MD",30,125,3,3800
"VA",73,41,3,3800
"IL",47,58,3,3700
"VA",63,95,3,3600
"KY",63,112,3,3200
"KY",67,117,3,3100
"AL",48,126,3,3000
"DC",77,58,3,2900
"NY",73,112,3,2900
"AL",71,124,3,2800
"DC",71,61,3,2800
"NY",51,97,3,2800
"VA",57,31,3,2700
"IL",54,117,3,2600
"IL",44,124,3,2600
"IL",42,124,3,2500
"CA",69,107,3,2400
"FL",84,68,3,2400
"IA",69,54,3,2200
"IL",58,72,3,2000
"IN",37,51,3,2000
"FL",64,60,3,2000
"IL",72,52,3,2000
"IN",45,28,3,2000
"NJ",59,84,3,2000
"NJ",34,99,3,2000
"IL",67,37,3,2000
"OH",39,54,3,2000
"CA",61,82,3,1900
"IN",74,61,3,1800
"IL",54,63,3,1800
"IL",52,53,3,1800
"IN",84,61,3,1800
"IL",55,90,3,1800
"DC",55,61,3,1800
"CA",65,106,3,1800
"PA",74,85,3,1800
"DC",78,62,3,1800
"MI",30,42,3,1800
"NY",71,60,3,1700
"AL",56,62,3,1700
"MO",65,54,3,1700
"GA",73,47,3,1600
"IL",51,51,3,1600
"FL",37,52,3,1600
"MA",79,49,3,1600
"IL",82,27,3,1600
"GA",49,37,3,1600
"IL",46,55,3,1500
"MS",63,55,3,1500
"CA",76,27,3,1500
"NJ",56,13,3,1500
"WA",70,50,3,1500
"IL",83,44,3,1500
"LA",42,44,3,1500
"LA",41,40,3,1400
"WA",68,64,3,1400
"LA",71,41,3,1400
"CA",42,83,3,1400
"CA",63,63,3,1400
"GA",53,61,3,1300
"NJ",24,39,3,1300
"IL",47,53,3,1300
"NY",70,46,3,1300
"MA",44,47,3,1300
"GA",54,46,3,1200
"VA",73,14,3,1200
"IN",69,54,3,1200
"CA",75,52,3,1200
"RI",59,28,3,1200
"IN",45,27,3,1200
"IL",44,21,3,1200
"NJ",32,25,3,1200
"CA",55,46,3,1200
"WA",78,39,3,1200
"VA",66,11,3,1200
"CA",72,36,3,1100
"IL",45,45,3,1100
"NV",74,55,3,1100
"NJ",59,10,3,1100
"LA",46,50,3,1100
"CA",75,56,3,1100
"LA",55,50,3,1000
"FL",56,34,3,1000
"FL",49,21,3,1000
"NY",90,25,3,1000
"RI",52,28,3,1000
"MO",89,10,3,1000
"MA",85,27,3,1000
"FL",78,14,3,1000
"MD",53,27,3,1000
"CA",70,38,3,1000
"IL",85,20,3,1000
"OH",79,22,3,1000
"LA",95,24,3,1000
"IL",54,18,3,950
"MA",47,27,3,900
"MO",58,27,3,900
"FL",83,5,3,900
"CA",69,51,3,900
"FL",85,9,3,900
"FL",81,11,3,900
"CA",58,36,3,880
"PA",72,27,3,850
"VA",76,24,3,850
"NH",54,27,3,850
"NH",55,25,3,850
"KY",52,27,3,850
"NJ",20,21,3,840
"NJ",66,22,3,830
"NJ",54,24,3,810
"NY",70,27,3,800
"FL",83,34,3,800
"OH",73,25,3,800
"FL",58,28,3,800
"NY",66,27,3,800
"NJ",46,12,3,800
"FL",76,23,3,800
"PA",60,24,3,800
"SC",89,23,3,800
"MA",64,26,3,800
"WI",48,23,3,800
"NY",75,27,3,800
"FL",72,18,3,800
"NJ",57,17,3,800
"IL",67,27,3,800
"IN",56,25,3,800
"GA",57,29,3,760
"GA",69,24,3,750
"GA",61,24,3,750
"GA",66,25,3,750
"FL",91,10,3,700
"AL",69,11,3,700
"VA",84,2,3,700
"IL",89,10,3,700
"PA",66,22,3,700
"MD",73,13,3,700
"GA",70,11,3,700
"IN",87,28,3,700
"MA",72,10,3,700
"DC",79,16,3,690
"IL",50,28,3,680
"VA",58,17,3,680
"VA",36,18,3,680
"FL",61,6,3,650
"MD",58,13,3,650
"IL",49,27,3,650
"CA",60,13,3,600
"WA",64,27,3,600
"IN",72,4,3,600
"IN",81,18,3,600
"CA",61,26,3,600
"FL",85,6,3,600
"WA",60,27,3,600
"NJ",24,20,3,600
"CA",72,17,3,600
"OH",59,12,3,590
"CA",62,26,3,560
"NV",67,27,3,550
"LA",48,17,3,550
"OH",61,11,3,550
"DC",56,7,3,550
"CA",72,23,3,550
"CA",78,18,3,530
"MA",75,16,3,520
"MA",80,13,3,500
"MS",59,5,3,500
"VA",45,5,3,500
"WA",70,23,3,500
"MS",75,14,3,500
"MD",86,7,3,500
"IA",72,6,3,500
"NY",61,5,3,500
"OH",69,13,3,500
"OH",70,10,3,500
"MD",67,7,3,500
"OH",69,10,3,500
"OH",55,12,3,500
"MO",85,13,3,500
"FL",84,12,3,500
"MA",65,15,3,500
"FL",51,8,3,500
"WA",74,5,3,500
"IN",49,6,3,500
"NV",46,22,3,500
"PA",80,14,3,450
"OH",47,13,3,450
"VA",61,12,3,450
"OK",68,14,3,450
"OH",66,13,3,450
"OK",65,12,3,450
"FL",64,8,3,450
"OK",55,12,3,450
"NJ",19,7,3,450
"VA",86,2,3,450
"VA",36,14,3,430
"WV",54,5,3,420
"WV",57,4,3,420
"VA",56,14,3,410
"TN",70,8,3,400
"FL",86,4,3,400
"TN",67,13,3,400
"NJ",56,11,3,400
"IL",84,8,3,400
"FL",80,4,3,400
"IL",81,6,3,400
"FL",61,9,3,400
"WV",64,1,3,400
"MD",73,11,3,400
"IN",74,13,3,400
"IN",55,13,3,380
"MA",60,9,3,360
"VA",62,4,3,360
"FL",43,24,3,350
"FL",43,22,3,350
"FL",44,21,3,350
"FL",42,21,3,350
"FL",41,22,3,350
"FL",44,20,3,350
"FL",40,22,3,350
"FL",37,19,3,350
"FL",31,19,3,350
"FL",29,19,3,350
"NJ",32,14,3,350
"IL",39,12,3,350
"IL",47,15,3,350
"NJ",61,2,3,340
"WI",88,5,3,310
"WA",78,11,3,300
"NV",47,13,3,300
"CT",71,12,3,300
"MD",75,5,3,300
"VA",62,7,3,300
"IL",47,22,3,300
"DC",77,7,3,300
"FL",80,10,3,300
"NJ",55,9,3,300
"IA",75,2,3,300
"IL",50,12,3,300
"AL",47,4,3,300
"IA",64,5,3,300
"NY",70,5,3,280
"NV",78,13,3,280
"CA",62,9,3,280
"ME",85,2,3,270
"IN",82,6,3,250
"NJ",49,10,3,250
"VA",59,6,3,250
"IL",69,6,3,250
"GA",75,6,3,250
"IA",67,2,3,250
"CT",77,5,3,250
"WI",89,4,3,250
"PA",72,5,3,240
"VA",58,6,3,240
"FL",78,13,3,240
"PA",74,3,3,230
"TX",54,4,3,230
"SC",87,6,3,230
"OK",67,5,3,230
"OK",57,7,3,230
"MO",76,2,3,220
"IL",42,8,3,220
"GA",54,3,3,210
"FL",84,4,3,200
"MA",67,3,3,200
"MA",73,5,3,200
"IN",52,6,3,200
"MO",89,2,3,200
"WV",74,1,3,200
"FL",81,1,3,200
"OH",73,6,3,200
"DE",59,7,3,200
"MS",71,2,3,200
"MS",69,2,3,200
"MS",71,2,3,200
"AL",49,2,3,200
"WI",81,2,3,200
"FL",78,2,3,200
"WV",74,1,3,200
"IA",85,3,3,200
"WV",51,2,3,200
"CA",64,10,3,200
"TX",85,2,3,200
"MA",88,2,3,200
"IN",50,6,3,200
"WA",75,4,3,200
"WA",73,3,3,200
"WA",84,2,3,200
"VA",78,6,3,200
"WV",79,6,3,200
"IN",67,6,3,200
"IL",65,6,3,200
"MA",78,2,3,180
"OH",68,3,3,160
"VA",54,1,3,160
"DC",84,2,3,160
"MO",66,2,3,150
"VA",91,1,3,150
"VA",86,1,3,150
"NY",76,3,3,150
"DC",84,1,3,150
"DC",66,1,3,150
"NV",74,3,3,130
"VA",62,1,3,120
"VA",73,1,3,120
"TX",89,1,3,100
"TX",83,1,3,100
"TX",71,1,3,100
"TX",55,1,3,100
"MA",55,1,3,100
"VA",54,1,3,100
"WV",76,1,3,100
"NY",91,2,3,100
"IL",53,2,3,100
"PA",73,1,3,100
"WV",75,1,3,100
"FL",66,1,3,100
"PA",66,1,3,100
"TX",72,1,3,100
"TX",84,1,3,100
"VA",69,2,3,80
"WA",77,3,3,80
"WA",73,1,3,80
"OH",79,2,3,60
"CA",56,2,3,60
"WI",93,1,3,51
"TX",92,1,3,50
"TX",83,1,3,50
"TX",88,1,3,50
"TX",86,1,3,50
"IN",83,1,3,50
"VA",91,1,3,50
"CA",76,1,3,50
"TX",84,1,3,50
"TX",90,1,3,50
"IN",61,1,3,50
"VA",62,1,3,50
"TX",58,1,3,50
"VA",65,1,3,50
"CA",80,1,3,40
"CA",69,1,3,40
"NY",87,1,3,40
"NY",88,1,3,40
"IN",68,1,3,40
"CA",74,1,3,40
"CA",85,1,3,40
"CA",66,1,3,40
"PA",68,102,4,3400
"VA",61,62,4,3100
"NY",61,39,4,3000
"FL",42,55,4,3000
"NY",73,85,4,2700
"NY",57,55,4,2400
"WA",83,51,4,2300
"AK",68,36,4,2300
"OH",69,60,4,2200
"MD",52,61,4,2200
"FL",57,73,4,2100
"WA",64,52,4,2100
"IL",73,55,4,2000
"MA",71,54,4,2000
"CA",71,72,4,2000
"FL",36,46,4,2000
"GA",66,47,4,1900
"IN",63,62,4,1800
"IL",47,62,4,1800
"IL",60,27,4,1800
"IN",38,55,4,1800
"PA",33,55,4,1800
"FL",34,39,4,1800
"KY",48,54,4,1800
"CA",52,89,4,1800
"CA",60,76,4,1700
"CA",7,111,4,1700
"NJ",50,56,4,1700
"CA",53,77,4,1700
"PA",65,59,4,1600
"VA",53,55,4,1600
"LA",49,52,4,1600
"AR",46,53,4,1600
"VA",49,56,4,1600
"TX",50,68,4,1600
"IL",52,62,4,1600
"NY",44,52,4,1500
"FL",94,48,4,1500
"IL",46,55,4,1500
"NY",62,54,4,1500
"IL",75,5,4,1500
"WA",57,53,4,1500
"IL",53,47,4,1500
"MA",55,49,4,1400
"LA",59,62,4,1400
"IL",64,54,4,1400
"IN",63,62,4,1400
"SC",71,66,4,1400
"IL",48,55,4,1300
"FL",90,35,4,1200
"FL",80,34,4,1200
"LA",46,42,4,1100
"WV",42,28,4,1100
"IA",61,19,4,1100
"MA",42,30,4,1100
"DC",48,30,4,1000
"GA",62,30,4,1000
"UT",88,8,4,1000
"PA",55,27,4,1000
"DC",48,30,4,1000
"CT",48,27,4,980
"NY",68,27,4,950
"DE",46,21,4,900
"TX",31,47,4,900
"PA",57,26,4,850
"CA",57,22,4,840
"IL",13,27,4,830
"IL",66,20,4,800
"FL",83,8,4,800
"NY",74,27,4,800
"VA",29,26,4,800
"FL",85,12,4,800
"IL",47,28,4,800
"FL",44,11,4,800
"IN",70,24,4,800
"FL",81,26,4,800
"FL",93,22,4,780
"FL",77,24,4,750
"WV",70,7,4,750
"CA",62,26,4,750
"LA",70,19,4,750
"IL",55,20,4,700
"VA",33,27,4,700
"FL",88,24,4,700
"CA",81,21,4,700
"IL",40,24,4,700
"NH",39,7,4,650
"NH",35,6,4,650
"CA",80,24,4,650
"NV",70,24,4,630
"UT",83,11,4,600
"CA",78,27,4,600
"ME",73,3,4,600
"OH",62,12,4,590
"TX",52,31,4,580
"VA",86,5,4,550
"LA",85,7,4,550
"IL",36,14,4,520
"MO",83,7,4,500
"VA",47,10,4,500
"CA",81,24,4,500
"DC",71,7,4,500
"CT",63,13,4,500
"FL",54,13,4,500
"CA",77,20,4,500
"VA",60,3,4,500
"IN",62,14,4,500
"PA",59,8,4,500
"IL",38,4,4,500
"WA",77,14,4,460
"IL",60,14,4,460
"MA",87,5,4,450
"OK",58,13,4,450
"IN",50,13,4,450
"MO",86,13,4,450
"FL",85,10,4,450
"WA",71,15,4,450
"VA",57,8,4,450
"VA",36,8,4,450
"GA",59,15,4,450
"PA",63,2,4,430
"WV",59,5,4,420
"PA",25,3,4,420
"UT",82,4,4,400
"CA",47,23,4,400
"IN",69,13,4,400
"IN",76,12,4,400
"FL",76,6,4,400
"FL",46,2,4,400
"IL",49,12,4,400
"MA",37,11,4,360
"VA",55,3,4,350
"VA",47,7,4,310
"MO",84,4,4,300
"LA",44,10,4,300
"DC",80,4,4,300
"IA",62,4,4,300
"MA",51,2,4,300
"DC",79,3,4,300
"MA",65,3,4,300
"FL",83,2,4,300
"FL",59,2,4,300
"IA",66,7,4,300
"VA",57,5,4,300
"CA",54,12,4,300
"CA",58,13,4,300
"PA",80,2,4,300
"FL",87,2,4,300
"MO",60,5,4,300
"VA",20,7,4,290
"NY",85,4,4,280
"IL",46,5,4,280
"IL",43,11,4,280
"VA",52,7,4,280
"CA",65,5,4,260
"VA",82,6,4,250
"VA",94,3,4,250
"VA",57,3,4,230
"OK",80,7,4,230
"VA",49,8,4,220
"PA",78,2,4,210
"NY",79,5,4,200
"IN",66,6,4,200
"VA",49,6,4,200
"MO",92,2,4,200
"MA",41,3,4,200
"VA",86,2,4,200
"LA",79,3,4,200
"FL",89,3,4,200
"CT",47,3,4,200
"MO",85,2,4,200
"MO",89,2,4,200
"FL",45,2,4,200
"WA",54,6,4,190
"VA",55,1,4,180
"CT",58,2,4,180
"VA",43,1,4,180
"CA",75,4,4,170
"MA",45,2,4,160
"IA",84,2,4,150
"WV",45,1,4,150
"MA",59,1,4,150
"VA",62,2,4,130
"WA",70,3,4,120
"MO",84,1,4,120
"VA",63,1,4,120
"IL",81,1,4,120
"KY",89,1,4,120
"FL",78,1,4,100
"LA",56,2,4,100
"CA",63,3,4,100
"WV",71,1,4,100
"NY",85,2,4,100
"NY",73,1,4,100
"VA",72,1,4,100
"FL",84,1,4,100
"GA",85,2,4,100
"WA",79,2,4,100
"GA",71,1,4,100
"WA",72,1,4,100
"MA",64,1,4,100
"MO",82,3,4,100
"VA",60,1,4,100
